Death,Year,Amount,,,,,
Digestive diseases,1993,1124723,,,,,
Liver diseases,1993,610947,,,,,
Respiratory diseases,1993,1911526,,,,,
Meningitis,1994,228047,,,,,
Parkinsons,1994,99223,,,,,
Alzheimers,1994,397013,,,,,
Nutritional deficiencies,1994,371801,,,,,
Malaria,1994,446176,,,,,
HIV/AIDS,1994,349833,,,,,
Druguse,1994,43813,,,,,
Cardiovascular diseases,1994,7744466,,,,,
Rrespiratory infections,1994,1827761,,,,,
Alcoholuse disorders,1994,86543,,,,,
Self-harm,1994,476181,,,,,
Diarrheal,1994,1537981,,,,,
Kidney disease,1994,381520,,,,,
Diabetes,1994,434665,,,,,
Malnutrition,1994,319538,,,,,
Digestive diseases,1994,1145655,,,,,
Liver diseases,1994,625306,,,,,
Respiratory diseases,1994,1946725,,,,,
Meningitis,1995,223856,,,,,
Parkinsons,1995,101722,,,,,
Alzheimers,1995,411452,,,,,
Nutritional deficiencies,1995,357822,,,,,
Malaria,1995,441740,,,,,
HIV/AIDS,1995,420873,,,,,
Druguse,1995,46955,,,,,
Cardiovascular diseases,1995,7866369,,,,,
Rrespiratory infections,1995,1804463,,,,,
Alcoholuse disorders,1995,92433,,,,,
Self-harm,1995,491084,,,,,
Diarrheal,1995,1502521,,,,,
Kidney disease,1995,392114,,,,,
Diabetes,1995,447975,,,,,
Malnutrition,1995,308227,,,,,
Digestive diseases,1995,1161655,,,,,
Liver diseases,1995,637520,,,,,
Respiratory diseases,1995,1964502,,,,,
Meningitis,1996,221241,,,,,
Parkinsons,1996,104525,,,,,
Alzheimers,1996,425945,,,,,
Nutritional deficiencies,1996,392756,,,,,
Malaria,1996,444488,,,,,
HIV/AIDS,1996,492879,,,,,
Druguse,1996,48971,,,,,
Cardiovascular diseases,1996,7919470,,,,,
Rrespiratory infections,1996,1782565,,,,,
Alcoholuse disorders,1996,94024,,,,,
Self-harm,1996,495382,,,,,
Diarrheal,1996,1465089,,,,,
Kidney disease,1996,403087,,,,,
Diabetes,1996,460789,,,,,
Malnutrition,1996,345419,,,,,
Digestive diseases,1996,1170989,,,,,
Liver diseases,1996,645888,,,,,
Respiratory diseases,1996,1974047,,,,,
Meningitis,1997,224235,,,,,
Parkinsons,1997,107585,,,,,
Alzheimers,1997,439723,,,,,
Nutritional deficiencies,1997,365396,,,,,
Malaria,1997,448941,,,,,
HIV/AIDS,1997,554538,,,,,
Druguse,1997,50082,,,,,
Cardiovascular diseases,1997,7961526,,,,,
Rrespiratory infections,1997,1749618,,,,,
Alcoholuse disorders,1997,93741,,,,,
Self-harm,1997,491459,,,,,
Diarrheal,1997,1432410,,,,,
Kidney disease,1997,415521,,,,,
Diabetes,1997,475547,,,,,
Malnutrition,1997,320346,,,,,
Digestive diseases,1997,1177142,,,,,
Liver diseases,1997,651738,,,,,
Respiratory diseases,1997,1991847,,,,,
Meningitis,1998,215534,,,,,
Parkinsons,1998,111011,,,,,
Alzheimers,1998,452633,,,,,
Nutritional deficiencies,1998,351749,,,,,
Malaria,1998,459002,,,,,
HIV/AIDS,1998,609678,,,,,
Druguse,1998,50718,,,,,
Cardiovascular diseases,1998,8030037,,,,,
Rrespiratory infections,1998,1725013,,,,,
Alcoholuse disorders,1998,93181,,,,,
Self-harm,1998,492945,,,,,
Diarrheal,1998,1413080,,,,,
Kidney disease,1998,431518,,,,,
Diabetes,1998,492456,,,,,
Malnutrition,1998,308357,,,,,
Digestive diseases,1998,1188563,,,,,
Liver diseases,1998,659655,,,,,
Respiratory diseases,1998,2016057,,,,,
Meningitis,1999,211107,,,,,
Parkinsons,1999,114612,,,,,
Alzheimers,1999,465976,,,,,
Nutritional deficiencies,1999,336264,,,,,
Malaria,1999,462097,,,,,
HIV/AIDS,1999,677450,,,,,
Druguse,1999,52360,,,,,
Cardiovascular diseases,1999,8097792,,,,,
Rrespiratory infections,1999,1697699,,,,,
Alcoholuse disorders,1999,93736,,,,,
Self-harm,1999,497495,,,,,
Diarrheal,1999,1394588,,,,,
Kidney disease,1999,448404,,,,,
Diabetes,1999,508056,,,,,
Malnutrition,1999,295452,,,,,
Digestive diseases,1999,1198194,,,,,
Liver diseases,1999,666945,,,,,
Respiratory diseases,1999,2028618,,,,,
Meningitis,2000,208916,,,,,
Parkinsons,2000,118632,,,,,
Alzheimers,2000,480221,,,,,
Nutritional deficiencies,2000,320849,,,,,
Malaria,2000,456069,,,,,
HIV/AIDS,2000,750977,,,,,
Druguse,2000,53881,,,,,
Cardiovascular diseases,2000,8243161,,,,,
Rrespiratory infections,2000,1669151,,,,,
Alcoholuse disorders,2000,96337,,,,,
Self-harm,2000,503883,,,,,
Diarrheal,2000,1368804,,,,,
Kidney disease,2000,464623,,,,,
Diabetes,2000,522758,,,,,
Malnutrition,2000,282976,,,,,
Digestive diseases,2000,1211992,,,,,
Liver diseases,2000,676590,,,,,
Respiratory diseases,2000,2040183,,,,,
Meningitis,2001,206374,,,,,
Parkinsons,2001,122924,,,,,
Alzheimers,2001,495816,,,,,
Nutritional deficiencies,2001,306806,,,,,
Malaria,2001,448381,,,,,
HIV/AIDS,2001,815904,,,,,
Druguse,2001,55427,,,,,
Cardiovascular diseases,2001,8370631,,,,,
Rrespiratory infections,2001,1636195,,,,,
Alcoholuse disorders,2001,99629,,,,,
Self-harm,2001,502609,,,,,
Diarrheal,2001,1338361,,,,,
Kidney disease,2001,482422,,,,,
Diabetes,2001,537990,,,,,
Malnutrition,2001,270959,,,,,
Digestive diseases,2001,1226378,,,,,
Liver diseases,2001,687184,,,,,
Respiratory diseases,2001,2058104,,,,,
Meningitis,2002,202767,,,,,
Parkinsons,2002,127683,,,,,
Alzheimers,2002,513352,,,,,
Nutritional deficiencies,2002,292470,,,,,
Malaria,2002,464010,,,,,
HIV/AIDS,2002,872443,,,,,
Druguse,2002,54160,,,,,
Cardiovascular diseases,2002,8497541,,,,,
Rrespiratory infections,2002,1597348,,,,,
Alcoholuse disorders,2002,102508,,,,,
Self-harm,2002,491554,,,,,
Diarrheal,2002,1304644,,,,,
Kidney disease,2002,499374,,,,,
Diabetes,2002,554991,,,,,
Malnutrition,2002,258422,,,,,
Digestive diseases,2002,1242877,,,,,
Liver diseases,2002,700065,,,,,
Respiratory diseases,2002,2067934,,,,,
Meningitis,2003,198242,,,,,
Parkinsons,2003,133107,,,,,
Alzheimers,2003,532914,,,,,
Nutritional deficiencies,2003,278622,,,,,
Malaria,2003,472880,,,,,
HIV/AIDS,2003,919474,,,,,
Druguse,2003,52803,,,,,
Cardiovascular diseases,2003,8676092,,,,,
Rrespiratory infections,2003,1573231,,,,,
Alcoholuse disorders,2003,105258,,,,,
Self-harm,2003,485835,,,,,
Diarrheal,2003,1268917,,,,,
Kidney disease,2003,518177,,,,,
Diabetes,2003,575977,,,,,
Malnutrition,2003,246820,,,,,
Digestive diseases,2003,1264027,,,,,
Liver diseases,2003,715707,,,,,
Respiratory diseases,2003,2082948,,,,,
Meningitis,2004,196071,,,,,
Parkinsons,2004,137666,,,,,
Alzheimers,2004,552586,,,,,
Nutritional deficiencies,2004,226953,,,,,
Malaria,2004,487905,,,,,
HIV/AIDS,2004,955015,,,,,
Druguse,2004,51503,,,,,
Cardiovascular diseases,2004,8790581,,,,,
Rrespiratory infections,2004,1549153,,,,,
Alcoholuse disorders,2004,107449,,,,,
Self-harm,2004,487936,,,,,
Diarrheal,2004,1231113,,,,,
Kidney disease,2004,534948,,,,,
Diabetes,2004,593206,,,,,
Malnutrition,2004,197559,,,,,
Digestive diseases,2004,1281353,,,,,
Liver diseases,2004,729472,,,,,
Respiratory diseases,2004,2084154,,,,,
Meningitis,2005,191925,,,,,
Parkinsons,2005,146379,,,,,
Alzheimers,2005,595483,,,,,
Nutritional deficiencies,2005,204548,,,,,
Malaria,2005,477721,,,,,
HIV/AIDS,2005,972764,,,,,
Druguse,2005,53495,,,,,
Cardiovascular diseases,2005,8934012,,,,,
Rrespiratory infections,2005,1510718,,,,,
Alcoholuse disorders,2005,109209,,,,,
Self-harm,2005,494787,,,,,
Diarrheal,2005,1168039,,,,,
Kidney disease,2005,567401,,,,,
Diabetes,2005,621584,,,,,
Malnutrition,2005,177878,,,,,
Digestive diseases,2005,1311007,,,,,
Liver diseases,2005,753047,,,,,
Respiratory diseases,2005,2076398,,,,,
Meningitis,2006,190068,,,,,
Parkinsons,2006,150239,,,,,
Alzheimers,2006,618440,,,,,
Nutritional deficiencies,2006,196921,,,,,
Malaria,2006,478457,,,,,
HIV/AIDS,2006,941138,,,,,
Druguse,2006,53919,,,,,
Cardiovascular diseases,2006,8923109,,,,,
Rrespiratory infections,2006,1492366,,,,,
Alcoholuse disorders,2006,106957,,,,,
Self-harm,2006,487651,,,,,
Diarrheal,2006,1159431,,,,,
Kidney disease,2006,582606,,,,,
Diabetes,2006,632589,,,,,
Malnutrition,2006,170594,,,,,
Digestive diseases,2006,1316033,,,,,
Liver diseases,2006,756382,,,,,
Respiratory diseases,2006,2065697,,,,,
Meningitis,2007,186601,,,,,
Parkinsons,2007,155047,,,,,
Alzheimers,2007,643401,,,,,
Nutritional deficiencies,2007,188854,,,,,
Malaria,2007,477255,,,,,
HIV/AIDS,2007,890671,,,,,
Druguse,2007,54333,,,,,
Cardiovascular diseases,2007,8991048,,,,,
Rrespiratory infections,2007,1476770,,,,,
Alcoholuse disorders,2007,104815,,,,,
Self-harm,2007,480767,,,,,
Diarrheal,2007,1142293,,,,,
Kidney disease,2007,600001,,,,,
Diabetes,2007,644737,,,,,
Malnutrition,2007,163062,,,,,
Digestive diseases,2007,1325283,,,,,
Liver diseases,2007,762905,,,,,
Respiratory diseases,2007,2069962,,,,,
Meningitis,2008,181688,,,,,
Parkinsons,2008,161179,,,,,
Alzheimers,2008,670466,,,,,
Nutritional deficiencies,2008,182653,,,,,
Malaria,2008,472967,,,,,
HIV/AIDS,2008,833406,,,,,
Druguse,2008,55117,,,,,
Cardiovascular diseases,2008,9154580,,,,,
Rrespiratory infections,2008,1470072,,,,,
Alcoholuse disorders,2008,103523,,,,,
Self-harm,2008,477965,,,,,
Diarrheal,2008,1125876,,,,,
Kidney disease,2008,621473,,,,,
Diabetes,2008,661782,,,,,
Malnutrition,2008,157093,,,,,
Digestive diseases,2008,1342336,,,,,
Liver diseases,2008,773753,,,,,
Respiratory diseases,2008,2096452,,,,,
Meningitis,2009,178058,,,,,
Parkinsons,2009,165708,,,,,
Alzheimers,2009,697935,,,,,
Nutritional deficiencies,2009,175873,,,,,
Malaria,2009,465142,,,,,
HIV/AIDS,2009,776635,,,,,
Druguse,2009,55231,,,,,
Cardiovascular diseases,2009,9239565,,,,,
Rrespiratory infections,2009,1452472,,,,,
Alcoholuse disorders,2009,100755,,,,,
Self-harm,2009,471273,,,,,
Diarrheal,2009,1087538,,,,,
Kidney disease,2009,638318,,,,,
Diabetes,2009,672997,,,,,
Malnutrition,2009,151119,,,,,
Digestive diseases,2009,1341947,,,,,
Liver diseases,2009,773481,,,,,
Respiratory diseases,2009,2089566,,,,,
Meningitis,2010,172664,,,,,
Parkinsons,2010,170885,,,,,
Alzheimers,2010,727073,,,,,
Nutritional deficiencies,2010,175294,,,,,
Malaria,2010,461623,,,,,
HIV/AIDS,2010,728553,,,,,
Druguse,2010,55987,,,,,
Cardiovascular diseases,2010,9404368,,,,,
Rrespiratory infections,2010,1439131,,,,,
Alcoholuse disorders,2010,99404,,,,,
Self-harm,2010,470378,,,,,
Diarrheal,2010,1061424,,,,,
Kidney disease,2010,658352,,,,,
Diabetes,2010,685836,,,,,
Malnutrition,2010,150848,,,,,
Digestive diseases,2010,1352409,,,,,
Liver diseases,2010,779000,,,,,
Respiratory diseases,2010,2096936,,,,,
